Date,Product,Category,Sales_Rep,Quantity,Unit_Price,Total_Amount,Customer_ID,Customer_Name,Region
2024-10-01,Gaming Console,Electronics,Rachel Green,5,499.99,2499.95,C151,Game World,Northeast
2024-10-02,Gaming Controller,Accessories,Carlos Lopez,15,79.99,1199.85,C152,Control Zone,Southeast
2024-10-03,Gaming Headset,Electronics,Rachel Green,12,129.99,1559.88,C153,Sound Game,Northeast
2024-10-04,Gaming Chair,Accessories,Carlos Lopez,8,299.99,2399.92,C154,Comfort Game,Southeast
2024-10-07,Gaming Desk,Accessories,Rachel Green,6,399.99,2399.94,C155,Game Station,Northeast
2024-10-08,Monitor 4K,Electronics,Carlos Lopez,10,599.99,5999.90,C156,Crystal View,Southeast
2024-10-09,Graphics Card,Electronics,Rachel Green,4,799.99,3199.96,C157,Visual Power,Northeast
2024-10-10,Gaming Laptop,Electronics,Carlos Lopez,3,1499.99,4499.97,C158,Mobile Game,Southeast
2024-10-11,Mechanical Keyboard,Electronics,Rachel Green,9,149.99,1349.91,C159,Type Game,Northeast
2024-10-14,Gaming Mouse Pad,Accessories,Carlos Lopez,20,29.99,599.80,C160,Smooth Move,Southeast
2024-10-15,RGB Lighting,Electronics,Rachel Green,16,49.99,799.84,C161,Color Game,Northeast
2024-10-16,Cooling Fan,Electronics,Carlos Lopez,12,89.99,1079.88,C162,Cool Run,Southeast
2024-10-17,Power Supply,Electronics,Rachel Green,7,199.99,1399.93,C163,Power Game,Northeast
2024-10-18,SSD Drive,Electronics,Carlos Lopez,11,249.99,2749.89,C164,Speed Store,Southeast
2024-10-21,RAM Memory,Electronics,Rachel Green,8,179.99,1439.92,C165,Memory Game,Northeast
2024-10-22,Motherboard,Electronics,Carlos Lopez,5,349.99,1749.95,C166,Main Board,Southeast
2024-10-23,CPU Processor,Electronics,Rachel Green,6,599.99,3599.94,C167,Brain Power,Northeast
2024-10-24,Case Tower,Accessories,Carlos Lopez,4,199.99,799.96,C168,PC Home,Southeast
2024-10-25,Cable Set,Accessories,Rachel Green,15,39.99,599.85,C169,Connect All,Northeast
2024-10-28,Thermal Paste,Accessories,Carlos Lopez,25,19.99,499.75,C170,Cool Paste,Southeast
2024-10-29,Anti-Static Wrist,Accessories,Rachel Green,18,24.99,449.82,C171,Safe Build,Northeast
2024-10-30,Tool Kit PC,Accessories,Carlos Lopez,10,79.99,799.90,C172,Build Pro,Southeast
2024-10-31,Test Bench,Accessories,Rachel Green,3,299.99,899.97,C173,Test Station,Northeast
2024-11-01,Oscilloscope Mini,Electronics,Carlos Lopez,4,199.99,799.96,C174,Wave Watch,Southeast
2024-11-04,Function Generator,Electronics,Rachel Green,2,399.99,799.98,C175,Signal Make,Northeast
2024-11-05,Spectrum Analyzer,Electronics,Carlos Lopez,3,699.99,2099.97,C176,Freq Check,Southeast
